Entries,Database,Detected Hashing Algorithms,Category,Dump Date,Acknowledged?
358676097,Myspace.com,SHA-1,Social Media,2013-06,https://myspace.com/pages/blog
301086279,Twitter.com (Scraped Emails),no passwords,Scraped Data,2017-12,
288584667,NetEase (126.com & 163.com),plaintext & MD5,Technology,2015-10,
220000070,AdultFriendFinder.com,SHA-1 & plaintext & no passwords,Dating,2016-10,
216529796,Zynga.net,SHA-1(salt),Gaming,2019-09,
163666400,VNG.com,MD5 & plaintext,Gaming,2015-05,https://tuoitrenews.vn/news/business/20180428/vietnams-tech-giant-vng-apologizes-after-alleged-data-breach-affecting-163mn-accounts/45340.html
161549213,Dubsmash.com,PBKDF2,Video Messaging,2018-12,
153802030,Harvested Marketing Data,no passwords,Marketing,2015,
153004874,Adobe.com,3DES - ECB,Software,2013-10,https://blogs.adobe.com/conversations/2013/10/important-customer-security-announcement.html
143497313,MyFitnessPal.com,plaintext & no passwords,Health - Fitness,2018-02,https://content.myfitnesspal.com/security-information/notice.html
143090412,North American Numbering Plan,no passwords,Government Records,2014-04,
137360777,Canva.com,no passwords,Art - Graphics,2019-05,
126558846,Badoo.com,MD5,Dating & Social Media,,
121385316,Onliner Spambot Email Addresses,no passwords,Miscellaneous,,
117050029,MindJolt.com,no passwords,Gaming,2019-03,
117046470,LinkedIn.com,SHA-1,Social Media,2012,https://blog.linkedin.com/2016/05/18/protecting-our-members
100544934,VK.com,plaintext,Social Media,2013,
99873194,Youku.com,MD5,Entertainment,2016,
92004395,MyHeritage.com,SHA-1(salt),Genealogy,2017-10,https://blog.myheritage.com/2018/06/myheritage-statement-about-a-cybersecurity-incident/
91436280,Rambler.ru,plaintext,Email Provider,2012-02,
87609442,DailyMotion.com,bcrypt & no passwords,Entertainment,2016-10,
79639498,USA Marketing Data,no passwords,Marketing,2013,
77039888,Edmodo.com,bcrypt,Education,2017-05,https://support.edmodo.com/hc/en-us/articles/115007376848-Important-Notice-About-Your-Edmodo-Account
73369245,Tumblr.com,SHA-1 *MISSING SALTS*,Social Media,2013,
68743269,Neopets.com,plaintext,Gaming,2013-10,http://www.neopets.com/ntimes/index.phtml?section=editorial&issue=731
68679804,Dropbox.com,SHA-1 *MISSING SALTS* & bcrypt,File Sharing,2012,
58848308,ModBSolutions.com,no passwords,Business,2016-10,
57554514,Zoosk.com,MD5 & plaintext,Dating,2011,
51310759,iMesh.com,vB,Music,2013-09,
49611709,Turkish Citizenship Database,no passwords,Government Records,2009,
43570957,Last.fm,MD5,Music,2012-03,
42430633,USA Business Data,no passwords,Business,2014,
41016492,Twitter.com,plaintext,Social Media,,
40769710,Fling.com,plaintext,Dating,2011-03,
39815762,Chegg.com,MD5 & no passwords,Education,2018-04,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001364954/dd13595a-1f25-4a0f-bbe0-3bc1e62fab24.pdf
38716565,New Jersey Voter and Voting History Database,no passwords,Government Records,2017-02,
37750826,Wishbone.io,MD5 & no passwords,Entertainment,2020-01,
36397296,AshleyMadison.com,bcrypt,Dating,2015-07,https://www.ashleymadison.com/hack/
36141795,Poshmark.com,bcrypt & no passwords,Fashion,2018-05,https://blog.poshmark.com/2019/08/01/important-security-notice-from-poshmark/
32850061,Evony.com,MD5 & SHA-1,Gaming,2016-07,
31761308,Tianya.cn,plaintext,General Discussion,2011,
29546459,QIP.ru,plaintext,Instant Messaging,2011-06,
28627846,Houdao.com,plaintext,Gaming,2011-04,
28227693,Taringa.net,MD5 & no passwords,Social Media,2017-07,
28066021,SHEIN.com [PARTIAL],plaintext,Shopping - Fashion,2018-06,https://www.newswire.ca/news-releases/shein-notifies-customers-who-may-have-been-affected-by-data-breach-693998181.html
27835340,Experian.com (T-Mobile Users),no passwords,Finance,2015-08,
27403959,Mate1.com,plaintext,Dating,2015-11,
26228064,17.media,MD5,Streaming,2016-03,
24385846,LuminPDF.com,bcrypt & no passwords,Software,2019-04,
23800620,52PK.com,plaintext,Gaming,2011,
23152546,JustDate.com,no passwords,Dating,,
22982276,Webkinz.com,md5crypt,Gaming,2020-04,
22716615,GFan.com,vB,Technology,2016-10,
22695241,R2Games.com,vB,Gaming,2015-12,
22439717,Animoto.com,SHA-256,Software,2018-07,
20618608,Hike.in Device Data,no passwords,Instant Messaging,2015,
19999948,Aptoide.com,SHA-1 & SHA-256,Software,2020-04,
19998019,EyeEm.com,SHA-1(salt) & MD5(salt) & no passwords,Photography,2018-02,https://eyeem.zendesk.com/hc/en-us/articles/360000977977-Important-Security-Information-for-Your-EyeEm-Account
19716360,USA Business Database,no passwords,Business,2011,
17975696,8Tracks.com,SHA-1('--'.$salt.'--'.$pass.'--'),Music,2017-06,https://blog.8tracks.com/2017/06/27/password-security-alert/
17275064,HIAPK.com,vB,Technology,,
16500334,Zomato.com,no passwords & osCommerce,Food & Drink,2017-05,http://blog.zomato.com/post/160791675411/security-notice
16280823,Dodonew.com,plaintext,Software,2011-12,
15980005,New York Voter Database,no passwords,Government Records,,
15311565,000webhost.com Main,plaintext,Hosting,2015-10,
14811520,WHOIS Records of .net Domains,no passwords,Scraped Data,2016-12,
14791931,Taobao.com,plaintext,Shopping,2012,
13904080,Poshmark.com Facebook & Twitter User Data,no passwords,Fashion,2018-05,https://blog.poshmark.com/2019/08/01/important-security-notice-from-poshmark/
13499264,Co188.com,MD5,Construction,2011-07,
13334319,Canadian Residential Database,no passwords,Government Records,2011,
13113055,USA Consumer Database,no passwords,Marketing,2011,
13080236,Harvested Minecraft Usenames & IPs (Dec 2015-May 2016),no passwords,Gaming - Minecraft,2016-05,
12957573,Bukalapak.com,bcrypt & SHA-512,Shopping,2019-03,
12884302,Cfire.mail.ru Forums,vB,Gaming,2016-08,
12539780,Florida Voter Database,no passwords,Government Records,2013,
12098040,TGBUS.com,vB,Gaming,,
11869773,LBSG.net (LifeBoat In-Game),MD5,Gaming - Minecraft,2016-01,
11613010,WhitePages.com,SHA-1 & bcrypt,Directory,2016-06,
11032696,CouponMom.com and ArmorGames.com,plaintext,Coupons & Gaming,2014,
11013493,ArmorGames.com,SHA1($salt.sha1($pass.$salt)) & no passwords,Gaming,2019-01,https://armorgames.com/page/data-breach-2019
10613879,MGMResorts.com,no passwords,Hotel,2019,https://www.zdnet.com/article/exclusive-details-of-10-6-million-of-mgm-hotel-guests-posted-on-a-hacking-forum/
10137478,7k7k.com,plaintext,Gaming,2011,
9761390,Evite.com,plaintext,Invitations,2019-02,https://www.evite.com/security/update?usource=lc&lctid=1800182
9755600,17173.com,MD5,Gaming,,
9746241,Uuu9.com,plaintext,Gaming,,
9695514,iSpeak.cn,plaintext,Instant Messaging,2011-12,
